876,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=330 ,STDDEV_threshold=0.7,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
862,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=330 ,STDDEV_threshold=0.3,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
775,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=310 ,STDDEV_threshold=0.4,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
698,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=330 ,STDDEV_threshold=0.2,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
678,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=50 ,STDDEV_threshold=0.1,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
673,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=70 ,STDDEV_threshold=0.1,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
658,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=390 ,STDDEV_threshold=0.3,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
636,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=250 ,STDDEV_threshold=0.2,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
633,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=30 ,STDDEV_threshold=0.1,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
631,2115.87,5,4.5,423.17,787.48,7.41%,0,max_open_risk=2 ,max_open_trades=1 ,DEMA_period=20 ,WDH_sensetive=60 ,STDDEV_period=90 ,STDDEV_threshold=0.1,fixed_sltp=0 ,slippage=3 ,ATR_period=36 ,SL_ratio=1.6 ,TP_ratio=9 ,breakeven=0.3 ,profit_zone=0.9 ,profit_zone_reward=0.6 ,hour_limit_start=2 ,hour_limit_end=22 ,DEMA_filter=0 ,DEMA_filter_period=1 ,DEMA_enum_price=4 ,DEMA_enum_filter=2 ,WDH_dead_zone=30 ,WDH_explosion_power=15 ,WDH_trend_power=15
